{'item_0': [2.0, 256.0, 25.0, 35.0], 'item_1': [50.0, 70.0], 'item_2': [False], 'item_3': ['nearest'], 'item_4': ['False'], 'item_5': ['None'], 'item_6': [True], 'time_cost': '0.012216329574584961'}-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: UpsampleBilinea...         1.91%      45.000us        14.75%     347.000us     347.000us     467.000us        19.78%     578.000us     578.000us           0 b           0 b     247.00 Kb           0 b             1  
                              aten::upsample_bilinear2d        12.03%     283.000us        12.03%     283.000us     283.000us     462.000us        19.57%     462.000us     462.000us           0 b           0 b     950.00 Kb     950.00 Kb             1  
                                            aten::copy_        12.96%     305.000us        12.96%     305.000us     152.500us     281.000us        11.90%     281.000us     140.500us           0 b           0 b           0 b           0 b             2  
                                         aten::_to_copy        10.67%     251.000us        28.43%     669.000us     334.500us     277.000us        11.73%     650.000us     325.000us     741.00 Kb           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: ToCopyBackward0...         7.95%     187.000us        46.20%       1.087ms     543.500us     155.000us         6.57%       1.010ms     505.000us     494.00 Kb    -247.00 Kb    -247.00 Kb    -247.00 Kb             2  
                                               aten::to         5.23%     123.000us        33.66%     792.000us     396.000us     122.000us         5.17%     772.000us     386.000us     741.00 Kb           0 b           0 b           0 b             2  
                     aten::upsample_bilinear2d_backward         6.16%     145.000us        10.33%     243.000us     243.000us     101.000us         4.28%     109.000us     109.000us           0 b           0 b     247.00 Kb     247.00 Kb             1  
                                             aten::add_         4.63%     109.000us         4.63%     109.000us     109.000us     101.000us         4.28%     101.000us     101.000us           0 b           0 b           0 b           0 b             1  
                                    aten::empty_strided         6.84%     161.000us         6.84%     161.000us      53.667us      93.000us         3.94%      93.000us      31.000us     741.00 Kb     741.00 Kb     950.00 Kb     950.00 Kb             3  
                                        ToCopyBackward0         4.59%     108.000us        38.25%     900.000us     450.000us      83.000us         3.52%     855.000us     427.500us     741.00 Kb           0 b           0 b           0 b             2  
                        torch::autograd::AccumulateGrad         3.19%      75.000us         7.82%     184.000us     184.000us      74.000us         3.13%     175.000us     175.000us           0 b           0 b           0 b           0 b             1  
                                            aten::fill_         4.50%     106.000us         4.50%     106.000us      53.000us      68.000us         2.88%      68.000us      34.000us           0 b           0 b           0 b           0 b             2  
autograd::engine::evaluate_function: torch::autograd...         1.78%      42.000us         9.60%     226.000us     226.000us      41.000us         1.74%     216.000us     216.000us    -494.00 Kb    -494.00 Kb           0 b           0 b             1  
                                        aten::ones_like         4.76%     112.000us        12.32%     290.000us     290.000us      30.000us         1.27%      93.000us      93.000us           0 b           0 b     950.00 Kb           0 b             1  
                            UpsampleBilinear2DBackward1         2.51%      59.000us        12.83%     302.000us     302.000us       2.000us         0.08%     111.000us     111.000us           0 b           0 b     247.00 Kb           0 b             1  
                                       aten::empty_like         2.97%      70.000us         5.01%     118.000us     118.000us       1.000us         0.04%       2.000us       2.000us           0 b           0 b     950.00 Kb           0 b             1  
                                            aten::zero_         2.21%      52.000us         4.16%      98.000us      98.000us       1.000us         0.04%       8.000us       8.000us           0 b           0 b           0 b           0 b             1  
